foo
foo
$GPRMC,031029.00,A,3700.09246,N,11202.13200,W,0.003,331.51,190623,10.18,E,D*17
$GPRMC,031030.00,A,3700.09246,N,11202.13199,W,0.005,331.51,190623,10.18,E,D*1A
$GPRMC,031031.00,A,3700.09246,N,11202.13198,W,0.002,331.49,190623,10.18,E,D*14
$GPRMC,031032.00,A,3700.09246,N,11202.13198,W,0.001,331.48,190623,10.18,E,D*15
$GPRMC,031033.00,A,3700.09245,N,11202.13197,W,0.001,331.48,190623,10.18,E,D*18
$GPRMC,031034.00,A,3700.09245,N,11202.13197,W,0.002,331.48,190623,10.18,E,D*1C
$GPRMC,031035.00,A,3700.09244,N,11202.13197,W,0.001,331.48,190623,10.18,E,D*1F
$GPRMC,031036.00,A,3700.09243,N,11202.13197,W,0.002,331.46,190623,10.18,E,D*16
$GPRMC,031037.00,A,3700.09242,N,11202.13196,W,0.002,331.47,190623,10.18,E,D*16
$GPRMC,031038.00,A,3700.09241,N,11202.13195,W,0.004,331.46,190623,10.18,E,D*1E
$GPRMC,031039.00,A,3700.09239,N,11202.13194,W,0.002,331.45,190623,10.18,E,D*14
$GPRMC,031040.00,A,3700.09237,N,11202.13192,W,0.001,331.44,190623,10.18,E,D*10
$GPRMC,031041.00,A,3700.09235,N,11202.13191,W,0.002,331.43,190623,10.18,E,D*14
$GPRMC,031042.00,A,3700.09233,N,11202.13190,W,0.001,331.44,190623,10.18,E,D*14
$GPRMC,031043.00,A,3700.09230,N,11202.13189,W,0.002,331.45,190623,10.18,E,D*1C
$GPRMC,031044.00,A,3700.09228,N,11202.13187,W,0.003,331.44,190623,10.18,E,D*1C
$GPRMC,031045.00,A,3700.09226,N,11202.13186,W,0.001,331.43,190623,10.18,E,D*17
$GPRMC,031046.00,A,3700.09225,N,11202.13185,W,0.002,331.41,190623,10.18,E,D*15
$GPRMC,031047.00,A,3700.09223,N,11202.13184,W,0.003,331.38,190623,10.18,E,D*1C
$GPRMC,031048.00,A,3700.09223,N,11202.13184,W,0.001,331.40,190623,10.18,E,D*1E
$GPRMC,031049.00,A,3700.09222,N,11202.13184,W,0.002,331.42,190623,10.18,E,D*1F
$GPRMC,031050.00,A,3700.09221,N,11202.13184,W,0.004,331.41,190623,10.18,E,D*11
$GPRMC,031051.00,A,3700.09219,N,11202.13184,W,0.003,331.42,190623,10.18,E,D*1F
